TITLE,ADDRESS,PRICE,UNIT TYPE,BEDROOM,BATHROOM,SIZE,HYDRO,HEAT,WATER,LINK,LAT,LNG
looking for one bedroom apartment,"125 Rubidge St, Peterborough, ON K9J 3N5, Canada","1,000.00",Apartment,1,1,100,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/looking-for-one-bedroom-apartment/1487006044,44.2969314,-78.3262682
Luxury downtown Studio condo (furnished or unfurnished),"255 Bay St, Ottawa, ON K1R 0C5, Canada","1,700.00",Condo,Bachelor/Studio,1,401,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/luxury-downtown-studio-condo-furnished-or-unfurnished/1477428194,45.4153695,-75.7037667
Amazing brand new condo just steps away from the Rideau Canal,"150502 Greenfield Avenue, Ottawa K1S 0X8 ON","1,800.00",Condo,1,1,510,No,No,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/amazing-brand-new-condo-just-steps-away-from-the-rideau-canal/1486594403,45.415779,-75.6797342
"Military IR 1 Bedroom-Furnished,All Inclusive, Parking, Central","1308 Thames St, Ottawa, ON K1Z 7N4, Canada","1,700.00",Condo,1,1,750,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/military-ir-1-bedroom-furnished-all-inclusive-parking-central/1485891818,None,None
Beautiful apartment in luxury building - flexible dates,"50 Laurier Ave E, Ottawa, ON K1N 1H7, Canada","1,900.00",Apartment,1 + Den,1,600,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/beautiful-apartment-in-luxury-building-flexible-dates/1485692650,45.4231894,-75.6867803
"200 Rideau St: 1 Bedroom, 1 Bathroom [For Rent]","200 Rideau St, Ottawa, ON K1N 5Y1, Canada","1,800.00",Condo,1,1,650,No,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/200-rideau-st:-1-bedroom-1-bathroom-for-rent/1485630087,45.4273499,-75.68827759999999
Beautiful furnished 1 bedroom condo apartment in downtown Ottawa,"530 Laurier Ave W, Ottawa, ON K1R 7T1, Canada","1,800.00",Condo,1,1,650,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/beautiful-furnished-1-bedroom-condo-apartment-in-downtown-ottawa/1484383213,45.4152716,-75.70571919999999
"Spacious, furnished, main floor 1-bedroom apartment","192 Cobourg Street, Ottawa K1N 8H6 ON","1,750.00",Apartment,1,1,750,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/spacious-furnished-main-floor-1-bedroom-apartment/1484119281,45.4312973,-75.6773216
IR POSTING: furnished one bedroom condo near Carling campus,"265 Poulin Ave, Ottawa, ON K2B 7Y8, Canada","1,600.00",Condo,1,1,750,No,No,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/ir-posting:-furnished-one-bedroom-condo-near-carling-campus/1483318051,45.3664273,-75.79335019999999
Fully furnished 1 bedroom,"101 Champagne Ave S, Ottawa, ON K1S 4P4, Canada","1,695.00",Apartment,1,1,300,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/fully-furnished-1-bedroom/1483285368,45.3989074,-75.71127849999999
"Furnished, 1 bedroom apartment","139 Preston St, Ottawa, ON K1R 7P4, Canada","1,625.00",Apartment,1,1,450,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/furnished-1-bedroom-apartment/1482743929,45.407605,-75.7134409
Looking for a one or two bedroom,"K7M 6V6, Canada","1,300.00",Apartment,1,1.5,"10,000",No,No,No,https://www.kijiji.ca/v-apartments-condos/ottawa/looking-for-a-one-or-two-bedroom/1481108244,44.2485684,-76.5877277
best single room near the Carlton U,"101 Champagne Ave S, Ottawa, ON K1S 4P4, Canada","1,025.00",Apartment,1,1.5,18,Yes,Yes,Yes,https://www.kijiji.ca/v-apartments-condos/ottawa/best-single-room-near-the-carlton-u/1480986270,45.3989074,-75.71127849999999
